ID,COLLECT_SITE_CODE,ITEM_CLASS_CODE_VIEW,TYPE_CODE_VIEW,GROUP_CODE_VIEW,ITEM_CODE_VIEW,GOODS_CODE,GOODS_NAME,SIZE
195795,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,JWIBX18113CGY드로즈팬티,2018년 JWIBX18113CGY 남성 FRESH CUPRUS BASIC 드로즈팬티,1000028238721:100
195796,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,JWIBX18113CGY드로즈팬티,2018년 JWIBX18113CGY 남성 FRESH CUPRUS BASIC 드로즈팬티,1000028238721:105
195797,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,JWIBX18113CGY드로즈팬티,2018년 JWIBX18113CGY 남성 FRESH CUPRUS BASIC 드로즈팬티,1000028238721:110
196352,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,신JWIBX18113CGY,(코오롱스포츠) 남성 FRESH CUPRUS BASIC 드로즈팬티 JWIBX18113CGY,1000027511276:95
196353,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,신JWIBX18113CGY,(코오롱스포츠) 남성 FRESH CUPRUS BASIC 드로즈팬티 JWIBX18113CGY,1000027511276:100
196354,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,신JWIBX18113CGY,(코오롱스포츠) 남성 FRESH CUPRUS BASIC 드로즈팬티 JWIBX18113CGY,1000027511276:105
196355,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,신JWIBX18113CGY,(코오롱스포츠) 남성 FRESH CUPRUS BASIC 드로즈팬티 JWIBX18113CGY,1000027511276:110
197089,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,LEUN7G101,X-STATIC 스트라이프 드로즈 (언더웨어/속옷) LEUN7G101,1000020681876:95(M)
197090,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,LEUN7G101,X-STATIC 스트라이프 드로즈 (언더웨어/속옷) LEUN7G101,1000020681876:100(L)
197091,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,LEUN7G101,X-STATIC 스트라이프 드로즈 (언더웨어/속옷) LEUN7G101,1000020681876:105(XL)
198276,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,플라워브라2SBK,여성용 기능성 속옷 (플라워브라2),1000025497836:80A
198277,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,플라워브라2SBK,여성용 기능성 속옷 (플라워브라2),1000025497836:80B
198278,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,플라워브라2SBK,여성용 기능성 속옷 (플라워브라2),1000025497836:85A
198279,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,플라워브라2SBK,여성용 기능성 속옷 (플라워브라2),1000025497836:85B
199250,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,NU9AJ30AG,여성 테크 심프리 싱글렛(NU9AJ30A),1000028267865:085(S)
199251,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,NU9AJ30AG,여성 테크 심프리 싱글렛(NU9AJ30A),1000028267865:090(M)
199252,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,NU9AJ30AG,여성 테크 심프리 싱글렛(NU9AJ30A),1000028267865:095(L)
199739,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,MSX2TL2207,★여성 메쉬 배색 탱크(액티브)★MSX2TL2207,1000022177627:85(55)
199740,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,MSX2TL2207,★여성 메쉬 배색 탱크(액티브)★MSX2TL2207,1000022177627:90(66)
200114,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,쿼츠브라2DS,여성 등산 기능성 브라,1000028081734:75A
200115,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,쿼츠브라2DS,여성 등산 기능성 브라,1000028081734:75B
200116,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,쿼츠브라2DS,여성 등산 기능성 브라,1000028081734:80A
200117,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,쿼츠브라2DS,여성 등산 기능성 브라,1000028081734:80B
200118,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,쿼츠브라2DS,여성 등산 기능성 브라,1000028081734:85A
200119,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,쿼츠브라2DS,여성 등산 기능성 브라,1000028081734:85B
202503,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,DWBR6F73109,(17 S/S 여성) 매쉬 하이브리드 브라탑 DWBR6F731,1000027577718:S
202504,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,DWBR6F73109,(17 S/S 여성) 매쉬 하이브리드 브라탑 DWBR6F731,1000027577718:M
203043,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,LEUN7G501,X-STATIC 스트라이프 브라 (LEUN7G501),1000020682058:90(S/55)
203044,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,LEUN7G501,X-STATIC 스트라이프 브라 (LEUN7G501),1000020682058:95(M/66)
203045,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,LEUN7G501,X-STATIC 스트라이프 브라 (LEUN7G501),1000020682058:100(L/77)
205546,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,7DA8001SH,남성기능성속옷트리플세트TRIPLE PACK COLOR (트리플팩 컬러) - 7DA8001,1000022414569:095
205547,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,7DA8001SH,남성기능성속옷트리플세트TRIPLE PACK COLOR (트리플팩 컬러) - 7DA8001,1000022414569:100
205548,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,7DA8001SH,남성기능성속옷트리플세트TRIPLE PACK COLOR (트리플팩 컬러) - 7DA8001,1000022414569:105
206062,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,드로즈팬티블랙야크,인체공학 3D입체패턴 분리형 구조의 기능성 드로즈 팬티,1000022093254:95
206063,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,드로즈팬티블랙야크,인체공학 3D입체패턴 분리형 구조의 기능성 드로즈 팬티,1000022093254:100
206064,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,드로즈팬티블랙야크,인체공학 3D입체패턴 분리형 구조의 기능성 드로즈 팬티,1000022093254:105
206065,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,드로즈팬티블랙야크,인체공학 3D입체패턴 분리형 구조의 기능성 드로즈 팬티,1000022093254:110
206501,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,신영JWICX18121,2018 남성 COOLMAX SPORTY 나시,1000027891240:95
206502,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,신영JWICX18121,2018 남성 COOLMAX SPORTY 나시,1000027891240:100
206503,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,신영JWICX18121,2018 남성 COOLMAX SPORTY 나시,1000027891240:105
206591,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,DWA16872,16SS HIKE TECH 여성 X-STATIC 브라 P.Yellow (DWA16872)IC,1000018013150:S
206592,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,DWA16872,16SS HIKE TECH 여성 X-STATIC 브라 P.Yellow (DWA16872)IC,1000018013150:M
206593,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,DWA16872,16SS HIKE TECH 여성 X-STATIC 브라 P.Yellow (DWA16872)IC,1000018013150:L
207236,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,NSU9AI32DWRG,여성 워크 아웃 브라(NSU9AI32-DWR),1000020970752:085(S)
207237,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,NSU9AI32DWRG,여성 워크 아웃 브라(NSU9AI32-DWR),1000020970752:090(M)
207238,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,NSU9AI32DWRG,여성 워크 아웃 브라(NSU9AI32-DWR),1000020970752:095(L)
207332,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,DMA16878ESCAPE남성그래픽사각팬티,ESCAPE 남성 그래픽 사각 팬티,1000021010732:M
207333,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,DMA16878ESCAPE남성그래픽사각팬티,ESCAPE 남성 그래픽 사각 팬티,1000021010732:L
207334,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,DMA16878ESCAPE남성그래픽사각팬티,ESCAPE 남성 그래픽 사각 팬티,1000021010732:XL
207800,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,코나M팬티2,블랙야크[코나M팬티2] 여성용 기능성 이너웨어,1000022836015:90
207801,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,코나M팬티2,블랙야크[코나M팬티2] 여성용 기능성 이너웨어,1000022836015:95
208158,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,신JKIBX18156SBE,(코오롱스포츠) 여성 노라인 거들팬티 JKIBX18156SBE,1000027512687:90
208159,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,신JKIBX18156SBE,(코오롱스포츠) 여성 노라인 거들팬티 JKIBX18156SBE,1000027512687:95
208160,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,신JKIBX18156SBE,(코오롱스포츠) 여성 노라인 거들팬티 JKIBX18156SBE,1000027512687:100
208698,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,7DA8003SY,17SS 프리즘 베이직 민소매 티셔츠 (남성)7DA8003 SYNP,1000022837475:95
208699,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,7DA8003SY,17SS 프리즘 베이직 민소매 티셔츠 (남성)7DA8003 SYNP,1000022837475:100
208700,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,7DA8003SY,17SS 프리즘 베이직 민소매 티셔츠 (남성)7DA8003 SYNP,1000022837475:105
209538,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,WMPOKNINCM10014E86,랄프 로렌 레이스 트림 포인텔레 캐미솔(WMPOKNINCM10014E86),"1000025913441:XS,S,M,L,XL"
209557,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,JKICX18122BLKSG,여성 COOLMAX MESH 몰드 브라 JKICX18122BLK,1000028762915:90
209558,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,JKICX18122BLKSG,여성 COOLMAX MESH 몰드 브라 JKICX18122BLK,1000028762915:95
209559,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,JKICX18122BLKSG,여성 COOLMAX MESH 몰드 브라 JKICX18122BLK,1000028762915:100
209917,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,23490J5,NEW ARRIVAL 2018SS 우먼즈 크로스 베타 탱크 탑 Patagonia Womens Cross Beta Tank Top(23490J5),1000025628944:XS(80~85)
209918,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,23490J5,NEW ARRIVAL 2018SS 우먼즈 크로스 베타 탱크 탑 Patagonia Womens Cross Beta Tank Top(23490J5),1000025628944:S(85~90)
